polyname,bound1,bound2,bound3,bound4,iso,adm1,adm2,thresh,loss_year,area
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,6,1331387.6130899999
ifl_2013__landmark,1,1,1,1,BRA,12,9,0,4,1521.83991456
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,11,17493.1956801
admin,1,1,1,1,BRA,12,9,50,1,3096589.1319
landmark,1,1,1,1,BRA,12,9,75,10,10751467.6218
wdpa,1,1,1,1,BRA,12,9,30,4,71447.0357655
landmark,1,1,1,1,BRA,12,9,10,1,9118.77266193
ifl_2013,1,1,1,1,BRA,12,9,25,4,1522.03578098
ifl_2013,1,1,1,1,BRA,12,9,0,10,1521.62359649
wdpa,1,1,1,1,BRA,12,9,10,12,759.855053901
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,5,4559.17746328
admin,1,1,1,1,BRA,12,9,10,14,110832.57935599999
admin,1,1,1,1,BRA,12,9,20,5,10626.802522
admin,1,1,1,1,BRA,12,9,15,7,18217.9051902
admin,1,1,1,1,BRA,12,9,20,1,56935.8022628
ifl_2013,1,1,1,1,BRA,12,9,0,4,1521.83991456
ifl_2013,1,1,1,1,BRA,12,9,30,4,9890.46724046
admin,1,1,1,1,BRA,12,9,20,8,13661.882056999999
ifl_2013__landmark,1,1,1,1,BRA,12,9,10,16,760.171033474
ifl_2013,1,1,1,1,BRA,12,9,75,3,847369.461576
admin,1,1,1,1,BRA,12,9,30,10,404632.219545
landmark,1,1,1,1,BRA,12,9,25,4,3801.85136506
landmark,1,1,1,1,BRA,12,9,75,14,3265198.13664
wdpa,1,1,1,1,BRA,12,9,10,16,1520.14333905
landmark,1,1,1,1,BRA,12,9,30,15,19766.5718098
admin,1,1,1,1,BRA,12,9,20,3,18214.9635275
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,10,13686.034693200001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,8,5325.5214237
ifl_2013,1,1,1,1,BRA,12,9,15,17,760.199540289
admin,1,1,1,1,BRA,12,9,75,6,76382606.8836
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,2,2284.83347206
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,5,4559.17746328
admin,1,1,1,1,BRA,12,9,20,16,169256.768163
wdpa,1,1,1,1,BRA,12,9,10,4,2279.74248649
wdpa,1,1,1,1,BRA,12,9,0,10,53952.7687714
wdpa,1,1,1,1,BRA,12,9,50,2,2249412.4619400003
ifl_2013__landmark,1,1,1,1,BRA,12,9,15,4,761.025414068
admin,1,1,1,1,BRA,12,9,25,6,24291.198706299998
wdpa,1,1,1,1,BRA,12,9,50,6,115530.376655
wdpa,1,1,1,1,BRA,12,9,30,1,108672.122647
admin,1,1,1,1,BRA,12,9,50,13,624698.617874
wdpa,1,1,1,1,BRA,12,9,15,7,759.8534994519999
wdpa,1,1,1,1,BRA,12,9,20,1,4559.95480095
admin,1,1,1,1,BRA,12,9,10,8,29607.845165799998
landmark,1,1,1,1,BRA,12,9,75,16,21861587.7302
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,1,260946.99418600003
ifl_2013,1,1,1,1,BRA,12,9,75,15,3017889.92697
ifl_2013,1,1,1,1,BRA,12,9,15,14,760.985582362
admin,1,1,1,1,BRA,12,9,0,1,954160.1957690001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,2,569498.313189
admin,1,1,1,1,BRA,12,9,0,10,598287.683097
admin,1,1,1,1,BRA,12,9,25,1,86539.57458150001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,25,16,3041.92067432
admin,1,1,1,1,BRA,12,9,50,5,787951.297393
admin,1,1,1,1,BRA,12,9,25,2,274903.843917
admin,1,1,1,1,BRA,12,9,25,10,44786.194082099995
admin,1,1,1,1,BRA,12,9,0,4,286921.370498
admin,1,1,1,1,BRA,12,9,0,12,309719.58461799996
landmark,1,1,1,1,BRA,12,9,75,3,51835619.2407
admin,1,1,1,1,BRA,12,9,20,9,15943.360564700002
ifl_2013__wdpa,1,1,1,1,BRA,12,9,15,17,760.199540289
ifl_2013,1,1,1,1,BRA,12,9,75,8,776074.31673
wdpa,1,1,1,1,BRA,12,9,20,8,759.880425315
admin,1,1,1,1,BRA,12,9,20,15,127515.695149
admin,1,1,1,1,BRA,12,9,10,3,30358.0243255
ifl_2013__landmark,1,1,1,1,BRA,12,9,0,16,5329.62306149
ifl_2013,1,1,1,1,BRA,12,9,50,14,65447.889648000004
ifl_2013,1,1,1,1,BRA,12,9,75,10,2522073.32453
wdpa,1,1,1,1,BRA,12,9,30,17,9885.58915286
admin,1,1,1,1,BRA,12,9,50,12,910866.475293
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,9,2282.53854854
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,14,65447.889648000004
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,12,2500960.72372
wdpa,1,1,1,1,BRA,12,9,75,11,5299211.15553
admin,1,1,1,1,BRA,12,9,20,17,93361.5229767
landmark,1,1,1,1,BRA,12,9,20,8,759.880425315
ifl_2013__wdpa,1,1,1,1,BRA,12,9,25,5,761.0050243439999
wdpa,1,1,1,1,BRA,12,9,30,13,6085.74552838
admin,1,1,1,1,BRA,12,9,15,17,192790.15898399998
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,9,340003.07039
wdpa,1,1,1,1,BRA,12,9,0,16,66972.92169650001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,7,12168.919527
ifl_2013,1,1,1,1,BRA,12,9,50,12,16740.818143200002
